,index,CLEANED REASON,REASON,AVG SCORE,TO USER ACCOUNT,DATE,category
197,197,success dish prais 😁 🙌,for successfully dishing praise  😁 🙌,13.33,storypup#2167,2021-07-15T22:00:00.000Z,
200,200,help run back offic support contribut tec,for helping to run the back office and all their support and contributions to TEC,13.33,Kris#8703,2021-07-15T22:00:00.000Z,
201,201,daoist talk,for their daoist talk,14.0,Tam2140#9361,2021-07-22T22:00:00.000Z,
205,205,form orient group,for forming an orientation group,15.67,nic#9212,2021-07-15T22:00:00.000Z,
206,206,form orient group,for forming an orientation group,13.43,anna-marie#8824,2021-07-15T22:00:00.000Z,
208,208,speak confer last week,for speaking at the conferences last week,3.5,"griff (💜, 💜)#8888",2021-07-28T22:00:00.000Z,
211,211,fantast job comm week could never achiev great ethcc week without watch back doubl prais serious ❤️,"for the fantastic job they've been doing at comms this week! we could've never achieved such a great ethcc week without you watching our backs! DOUBLE PRAISE, seriously ❤️",17.33,iviangita#3204,2021-07-23T22:00:00.000Z,
212,212,spend last  hour deep dive prais audit,for spending the last 48 hours DEEP DIVING into the Praise Audit,17.33,freshelle#9882,2021-07-16T22:00:00.000Z,
213,213,help run back offic support contribut tec,for helping to run the back office and all their support and contributions to TEC,17.33,JessicaZartler#2263,2021-07-15T22:00:00.000Z,
214,214,hero final detail need us hatch,for being the heroes in finalizing all the details needed for us to hatch,5.63,Tam2140#9361,2021-07-15T22:00:00.000Z,
215,215,make progress awesom propos invert ,for making progress on the awesome proposal inverter!,20.0,ygg_anderson#4998,2021-07-28T22:00:00.000Z,
216,216,empathi poetic valu align heart mind,for his empathy and for his poetic and value aligned heart/mind,15.67,DanKnobelsdorf#0326,2021-07-28T22:00:00.000Z,
219,219,look tec fam keep us togeth healthi,for looking out for the TEC fam and keeping us together and healthy,15.67,Tam2140#9361,2021-07-28T22:00:00.000Z,
220,220,make amaz tec gather pari possibl,for making an amazing TEC gathering in Paris possible,13.0,"griff (💜, 💜)#8888",2021-07-28T22:00:00.000Z,
224,224,hero final detail need us hatch,for being the heroes in finalizing all the details needed for us to hatch,21.0,freshelle#9882,2021-07-15T22:00:00.000Z,
227,227,set tec snapshot ,for setting up TEC snapshot!!,21.0,liviade#1387,2021-07-26T22:00:00.000Z,
229,229,amaz coordin ethcc,for the amazing coordination for the EthCC,2.53,chuygarcia.eth#6692,2021-07-30T22:00:00.000Z,
230,230,risk live come ethcc pari,for risking their lives to come to EthCC in Paris,18.33,"griff (💜, 💜)#8888",2021-07-30T22:00:00.000Z,
231,231,risk live come ethcc pari,for risking their lives to come to EthCC in Paris,18.33,Zeptimus#3359,2021-07-30T22:00:00.000Z,
232,232,set good time pari make easi everyon went ethcc,for setting up such a good time in Paris and making it easy for everyone who went to EthCC,15.13,chuygarcia.eth#6692,2021-07-30T22:00:00.000Z,
233,233,make progress awesom propos invert ,for making progress on the awesome proposal inverter!,16.67,mZ#3472,2021-07-28T22:00:00.000Z,
237,237,data wizard support record much ⚡,for being our data wizard and supporting recordings so much ⚡,18.33,ygg_anderson#4998,2021-07-21T22:00:00.000Z,
241,241,hero final detail need us hatch,for being the heroes in finalizing all the details needed for us to hatch,12.47,"griff (💜, 💜)#8888",2021-07-15T22:00:00.000Z,
247,247,amaz adventur get livia everyth take care everyon super gener,for the amazing adventure and getting Livia in everything and for taking care of everyone and just being super generous,15.67,"griff (💜, 💜)#8888",2021-07-30T22:00:00.000Z,
253,253,help run back offic support contribut tec,for helping to run the back office and all their support and contributions to TEC,27.0,liviade#1387,2021-07-15T22:00:00.000Z,
254,254,,for ,0.7,DanKnobelsdorf#0326,2021-07-15T22:00:00.000Z,
255,255,person etho age virtu disregard antiqu impract,for having a personal ethos in an age when virtue is disregarded as antiquated and impractical,27.0,"sem(🌸,🐝)#0161",2021-07-15T22:00:00.000Z,
257,257,come tec commun call http youtu tfikvrgwa,for coming to the TEC Community Call https://youtu.be/t9fIkVRgWa0,7.67,chuygarcia.eth#6692,2021-07-30T22:00:00.000Z,
258,258,come tec commun call http youtu tfikvrgwa,for coming to the TEC Community Call https://youtu.be/t9fIkVRgWa0,10.0,karmaticacid#1218,2021-07-30T22:00:00.000Z,
259,259,partner transcrib prais 😄,for being my partner in transcribing the praise 😄,10.0,Mount Manu#3530,2021-07-30T22:00:00.000Z,
264,264,invit play music,for invite me to play some music,7.67,chuygarcia.eth#6692,2021-07-11T22:00:00.000Z,
265,265,involv acidlazz graviti,for involving acidlazzer in Gravity,9.0,Juankbell#7458,2021-07-15T22:00:00.000Z,
267,267,support timmer rockstar manag tec hatch readi thanks🤩,for support with the timmer and being the a rockstar managing tec! hatch its ready thanks🤩,12.33,Tam2140#9361,2021-07-14T22:00:00.000Z,
268,268,creat content event pictur video ,for creating content in the event (pictures and videos),10.67,chuygarcia.eth#6692,2021-07-19T22:00:00.000Z,
270,270,organ somehow remind tactic backpack,"for all his organization, which somehow reminds me of a tactical backpack",15.0,chuygarcia.eth#6692,2021-07-15T22:00:00.000Z,
271,271,contribut comm,for all of their contributions to comms,10.67,divine_comedian#5493,2021-07-15T22:00:00.000Z,
272,272,contribut comm,for all of their contributions to comms,9.0,karmaticacid#1218,2021-07-15T22:00:00.000Z,
278,278,great convers adventur buddi,for the great conversation and being an adventure buddy,12.33,liviade#1387,2021-07-28T22:00:00.000Z,
279,279,pari tec,for being in Paris with TEC,4.37,mateodaza#3156,2021-07-30T22:00:00.000Z,
280,280,jump commun call collabor tec project,for jumping into the community call and collaborating with TEC with your project,9.67,mheuer#9922,2021-07-30T22:00:00.000Z,
281,281,hero final detail need us hatch,for being the heroes in finalizing all the details needed for us to hatch,10.67,Zeptimus#3359,2021-07-15T22:00:00.000Z,
282,282,blog post weekli updat kill orient,for the blog posts and the weekly updates and killing it on orientation,11.33,Suga#8514,2021-07-15T22:00:00.000Z,
284,284,form orient group,for forming an orientation group,10.33,Suga#8514,2021-07-15T22:00:00.000Z,
285,285,talk ethcc,for his talk in ethcc,11.33,"griff (💜, 💜)#8888",2021-07-21T22:00:00.000Z,
286,286,help common configur dashboard explain dv depth,"for helping me through Commons configuration dashboard,  explaining me the DV in-depth",11.33,Mount Manu#3530,2021-07-30T22:00:00.000Z,
287,287,shepherd unconfer free cake lunch tec crew appreci ,for shepherding the unconference. The free cakes and lunch for TEC crew was appreciated.,15.67,"griff (💜, 💜)#8888",2021-07-24T22:00:00.000Z,
289,289,amaz educ commun,for being an amazing educator in the community,13.0,ygg_anderson#4998,2021-07-15T22:00:00.000Z,
290,290,help david go common configur dashboard play set,for helping David go through the Commons Configuration Dashboard and play with some of the settings,11.33,Mount Manu#3530,2021-07-30T22:00:00.000Z,
294,294,help zep creat privaci polici,for helping Zep create the privacy policy,13.0,Mount Manu#3530,2021-07-15T22:00:00.000Z,
295,295,help run back offic support contribut tec,for helping to run the back office and all their support and contributions to TEC,13.0,Tam2140#9361,2021-07-15T22:00:00.000Z,
296,296,visit suga’ hous,for visiting Suga’s house,11.33,"griff (💜, 💜)#8888",2021-07-30T22:00:00.000Z,
298,298,care put pari prepar make everyon feel safe comfi taken care 🌹,"for all the care they've put in the Paris preparation making everyone feel so safe, comfy and taken care of 🌹",29.67,chuygarcia.eth#6692,2021-07-13T22:00:00.000Z,
299,299,hatcher guidebook,for the Hatcher guidebook,7.7,natesuits#4789,2021-07-15T22:00:00.000Z,
